iter	Logloss
0	0.493991911
1	0.3408353945
2	0.275379827
3	0.230317305
4	0.2062676173
5	0.1894247255
6	0.1760727224
7	0.1634513419
8	0.1566183375
9	0.1509902846
10	0.1467215801
11	0.1424095667
12	0.1384860244
13	0.1347883391
14	0.1323105118
15	0.1303531305
16	0.1292020042
17	0.1277398977
18	0.1269370031
19	0.12521838
20	0.1240382474
21	0.1228765588
22	0.1221192379
23	0.121740575
24	0.1206032097
25	0.1201229101
26	0.1194325356
27	0.1190772495
28	0.1186846493
29	0.1180794084
30	0.1176379539
31	0.1171577695
32	0.1164756262
33	0.1158439841
34	0.1155057653
35	0.1151100315
36	0.1147076878
37	0.1143123943
38	0.1138832416
39	0.1134795414
40	0.1131286165
41	0.1127963154
42	0.1121983017
43	0.1118810636
44	0.1117189499
45	0.1115484132
46	0.1113348423
47	0.11106791
48	0.1108039692
49	0.110659533
50	0.1104517886
51	0.1102449853
52	0.1101043078
53	0.1099359899
54	0.1096203959
55	0.1094146499
56	0.1091254895
57	0.1089596505
58	0.1087321896
59	0.1084772037
60	0.1083204789
61	0.1081795354
62	0.108013141
63	0.1077000671
64	0.1074754296
65	0.107327796
66	0.1070924061
67	0.1069837641
68	0.1068708682
69	0.106589242
70	0.1064820551
71	0.1063323235
72	0.1062333476
73	0.1060494954
74	0.1058855776
75	0.1057654647
76	0.1056359289
77	0.1055317652
78	0.1053226567
79	0.105193775
80	0.105165871
81	0.1050458276
82	0.1049116429
83	0.1047606608
84	0.1045726906
85	0.1044366679
86	0.1043497771
87	0.1042679367
88	0.1042124878
89	0.1040970182
90	0.1040065525
91	0.1039455834
92	0.1036879894
93	0.1035813056
94	0.1035036214
95	0.1034578849
96	0.1031649153
97	0.1029122228
98	0.1027812069
99	0.1026705382
100	0.1025811919
101	0.102498285
102	0.1024426792
103	0.1023765306
104	0.1022715944
105	0.1022139512
106	0.1021146377
107	0.1019334093
108	0.1018779244
109	0.101671528
110	0.101529741
111	0.1014325535
112	0.1013267698
113	0.1012887654
114	0.1012564222
115	0.1011572902
116	0.1010753454
117	0.1010137872
118	0.1007558171
119	0.1007405818
120	0.1006647273
121	0.1005595004
122	0.1005134882
123	0.1004157981
124	0.1003586404
125	0.1003305595
126	0.1002163684
127	0.1001554817
128	0.1000751612
129	0.1000230753
130	0.09997976776
131	0.09991458552
132	0.09985020852
133	0.09970896001
134	0.09960795992
135	0.09950101562
136	0.0994016306
137	0.09926704768
138	0.09915957168
139	0.09908776468
140	0.09896934547
141	0.09887473884
142	0.09885307626
143	0.09874379252
144	0.09869883453
145	0.09865757662
146	0.09855904178
147	0.09848087027
148	0.09836342016
149	0.09828891687
150	0.09822425253
151	0.09821469372
152	0.09811109224
153	0.09808952002
154	0.09802651388
155	0.09793698208
156	0.09783168098
157	0.09775204484
158	0.09766390561
159	0.09760106164
160	0.09753615588
161	0.09750718531
162	0.09744186234
163	0.09734297292
164	0.09726366095
165	0.09721665402
166	0.09715978483
167	0.09707277696
168	0.09701562854
169	0.09693674651
170	0.0968527825
171	0.09680194692
172	0.09666132819
173	0.09657320528
174	0.09649582918
175	0.09646073109
176	0.0964029192
177	0.096342604
178	0.09629322236
179	0.09623328309
180	0.09622385338
181	0.09614934084
182	0.09597867951
183	0.09589176582
184	0.09579431759
185	0.09574166608
186	0.0956888464
187	0.0956152745
188	0.09555922824
189	0.09552551194
190	0.09547149056
191	0.09539939113
192	0.09534997286
193	0.09532538441
194	0.09527526208
195	0.0952350978
196	0.09518384075
197	0.09509652269
198	0.09502476854
199	0.09497338107
200	0.09490456266
201	0.09484474989
202	0.09483526792
203	0.09479905725
204	0.09474151609
205	0.09467705094
206	0.09463252467
207	0.09453027877
208	0.09447963101
209	0.09438776357
210	0.09433287802
211	0.09428073038
212	0.09420101455
213	0.0941274144
214	0.09403180126
215	0.09397879528
216	0.09393643091
217	0.09388160812
218	0.09378705186
219	0.09375234566
220	0.09373432287
221	0.09366262585
222	0.09360529093
223	0.09356582154
224	0.09352218294
225	0.09346142984
226	0.09341899029
227	0.09331656909
228	0.09325852571
229	0.09321399781
230	0.09317690883
231	0.0931593356
232	0.09311952161
233	0.0930423413
234	0.09300669678
235	0.09296329389
236	0.09290296253
237	0.09280105251
238	0.0927745829
239	0.0927414746
240	0.09265052626
241	0.09258651882
242	0.09255998125
243	0.09251642591
244	0.09244610339
245	0.09240016579
246	0.09236636654
247	0.09229519814
248	0.0922842345
249	0.09222426677
250	0.09210008407
251	0.09205259059
252	0.09198487248
253	0.09188658371
254	0.09184052289
255	0.09179271312
256	0.09174822279
257	0.09174217152
258	0.09171709014
259	0.09170301217
260	0.09164237346
261	0.091611652
262	0.09156920893
263	0.09150272886
264	0.09143932476
265	0.09136651728
266	0.09134882875
267	0.09132304546
268	0.09127374495
269	0.09121628073
270	0.09118156577
271	0.09113629016
272	0.09112648402
273	0.09109013207
274	0.09102548104
275	0.09097509374
276	0.09089665029
277	0.09086498842
278	0.09078410918
279	0.09074312013
280	0.09070561092
281	0.09063391071
282	0.09057917094
283	0.0905322306
284	0.0905098295
285	0.09040359218
286	0.09036358194
287	0.09032048778
288	0.09028491598
289	0.09024922333
290	0.0902180907
291	0.09017913483
292	0.09013941437
293	0.09007509421
294	0.09005764371
295	0.08995591184
296	0.08990076125
297	0.08984224592
298	0.08980891315
299	0.08974486574
