iter	Passed	Remaining
0	223	66705
1	247	36862
2	270	26765
3	291	21604
4	312	18456
5	334	16396
6	356	14916
7	378	13804
8	400	12935
9	422	12263
10	444	11676
11	468	11253
12	489	10805
13	509	10413
14	529	10062
15	545	9690
16	565	9413
17	585	9168
18	599	8872
19	617	8646
20	634	8423
21	650	8224
22	667	8034
23	681	7841
24	698	7678
25	715	7545
26	734	7426
27	753	7318
28	771	7207
29	789	7105
30	808	7012
31	827	6934
32	849	6870
33	867	6786
34	883	6685
35	898	6589
36	916	6516
37	933	6439
38	954	6384
39	980	6372
40	1000	6321
41	1022	6279
42	1042	6228
43	1062	6180
44	1080	6122
45	1098	6063
46	1113	5992
47	1128	5925
48	1143	5858
49	1157	5786
50	1172	5726
51	1189	5671
52	1203	5610
53	1221	5564
54	1238	5514
55	1253	5462
56	1271	5421
57	1290	5382
58	1308	5345
59	1327	5311
60	1345	5270
61	1364	5238
62	1382	5200
63	1400	5165
64	1417	5124
65	1431	5075
66	1446	5031
67	1463	4992
68	1479	4951
69	1497	4919
70	1513	4882
71	1530	4845
72	1545	4805
73	1563	4776
74	1582	4747
75	1599	4713
76	1616	4680
77	1631	4642
78	1647	4609
79	1664	4577
80	1681	4546
81	1699	4518
82	1725	4512
83	1745	4489
84	1766	4469
85	1784	4441
86	1802	4413
87	1821	4387
88	1836	4352
89	1851	4319
90	1866	4286
91	1880	4251
92	1897	4222
93	1912	4191
94	1928	4161
95	1945	4134
96	1963	4110
97	1987	4096
98	2006	4074
99	2024	4048
100	2041	4022
101	2058	3995
102	2075	3968
103	2089	3938
104	2106	3911
105	2121	3882
106	2136	3853
107	2153	3828
108	2167	3798
109	2187	3778
110	2204	3752
111	2224	3733
112	2240	3707
113	2258	3684
114	2277	3663
115	2297	3645
116	2316	3622
117	2334	3599
118	2353	3580
119	2370	3555
120	2390	3535
121	2406	3510
122	2420	3482
123	2436	3458
124	2451	3431
125	2468	3409
126	2484	3383
127	2498	3357
128	2513	3332
129	2528	3306
130	2542	3280
131	2557	3255
132	2575	3233
133	2591	3210
134	2606	3186
135	2622	3162
136	2637	3138
137	2656	3118
138	2675	3098
139	2693	3077
140	2715	3062
141	2734	3042
142	2750	3019
143	2769	2999
144	2785	2977
145	2804	2958
146	2820	2935
147	2834	2911
148	2850	2888
149	2867	2867
150	2882	2844
151	2895	2819
152	2911	2796
153	2924	2772
154	2940	2750
155	2956	2728
156	2971	2706
157	2987	2685
158	3002	2662
159	3017	2640
160	3034	2619
161	3048	2596
162	3065	2576
163	3085	2558
164	3104	2540
165	3124	2522
166	3148	2507
167	3174	2494
168	3193	2475
169	3215	2459
170	3233	2439
171	3250	2419
172	3267	2398
173	3283	2377
174	3299	2356
175	3315	2335
176	3333	2316
177	3348	2295
178	3364	2274
179	3380	2253
180	3394	2231
181	3412	2212
182	3429	2192
183	3446	2172
184	3466	2154
185	3482	2134
186	3497	2113
187	3512	2092
188	3528	2072
189	3543	2051
190	3559	2031
191	3579	2013
192	3599	1995
193	3617	1976
194	3635	1957
195	3652	1938
196	3672	1919
197	3691	1901
198	3711	1883
199	3729	1864
200	3743	1844
201	3760	1824
202	3773	1803
203	3789	1783
204	3803	1762
205	3819	1743
206	3833	1722
207	3848	1702
208	3863	1682
209	3879	1662
210	3895	1642
211	3911	1623
212	3927	1604
213	3943	1584
214	3962	1566
215	3980	1547
216	3994	1527
217	4010	1508
218	4026	1489
219	4042	1470
220	4056	1450
221	4071	1430
222	4087	1411
223	4100	1391
224	4119	1373
225	4138	1355
226	4155	1336
227	4173	1317
228	4191	1299
229	4212	1282
230	4230	1263
231	4248	1245
232	4266	1226
233	4283	1208
234	4297	1188
235	4312	1169
236	4328	1150
237	4344	1131
238	4359	1112
239	4375	1093
240	4390	1074
241	4406	1056
242	4421	1037
243	4435	1017
244	4453	999
245	4468	980
246	4482	961
247	4499	943
248	4514	924
249	4529	905
250	4544	887
251	4559	868
252	4575	850
253	4591	831
254	4605	812
255	4620	794
256	4636	775
257	4649	756
258	4664	738
259	4679	719
260	4696	701
261	4712	683
262	4728	665
263	4744	647
264	4759	628
265	4778	610
266	4796	592
267	4812	574
268	4830	556
269	4848	538
270	4867	520
271	4885	502
272	4901	484
273	4920	466
274	4935	448
275	4952	430
276	4970	412
277	4984	394
278	5000	376
279	5017	358
280	5035	340
281	5053	322
282	5071	304
283	5089	286
284	5106	268
285	5125	250
286	5143	232
287	5161	215
288	5177	197
289	5193	179
290	5210	161
291	5225	143
292	5239	125
293	5256	107
294	5269	89
295	5287	71
296	5302	53
297	5318	35
298	5336	17
299	5355	0
